sample_id,genotype,treatment,days_inc,dauer,non_dauer
1,csu60,none,5,267,26
2,csu60,none,5,397,21
3,csu60,none,5,461,26
4,csu60,none,5,462,15
5,csu60,none,5,559,12
6,csuEx54,none,5,71,247
7,csuEx54,none,5,20,193
8,csuEx54,none,5,48,493
9,csuEx54,none,5,48,422
10,csuEx54,none,5,19,406
11,csuEx54,none,5,36,385
12,csu60,EtOH,5,24,6
13,csu60,EtOH,5,36,17
14,csu60,EtOH,5,49,78
15,csu60,EtOH,5,87,6
16,csu60,7DA,5,0,74
17,csu60,7DA,5,0,125
18,csu60,7DA,5,0,85
19,csu60,7DA,5,0,151
20,csu60,7DA,5,0,152
